id;name;price;city;promo_price;link
3200881;Конструктор LEGO Disney Frozen Деревня в Эренделле 41167;8989;Saint Petersburg;6199;https://www.detmir.ru/product/index/id/3200881/
3498481;Конструктор LEGO Vidiyo Битбокс Хип-Хоп Робота 43107;1789;Saint Petersburg;889;https://www.detmir.ru/product/index/id/3498481/
3226695;Конструктор LEGO City Nitro Wheels Тюнинг-мастерская 60258;10789;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3226695/
3405628;Конструктор LEGO Ninjago Легендарные битвы: Кай против Армии скелетов 71730;949;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3405628/
3405631;Конструктор LEGO Ninjago Легендарные битвы: Коул против Призрачного воина 71733;949;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3405631/
3405553;Конструктор LEGO Friends Передвижной груминг-салон для кошек 41439;949;Saint Petersburg;799;https://www.detmir.ru/product/index/id/3405553/
3596977;Конструктор LEGO Ninjago Атака огненного дракона 71753;5389;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3596977/
3599720;Конструктор LEGO VIDIYO Folk Fairy BeatBox (Битбокс Феи Фолка) 43110;1789;Saint Petersburg;889;https://www.detmir.ru/product/index/id/3599720/
3596711;Конструктор LEGO Mickey and Friends Винтовой самолёт Микки 10772;949;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3596711/
3244608;Конструктор LEGO Star Wars AT-AT 75288;16789;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3244608/
3596836;Конструктор LEGO Dots Большой набор Летнее настроение 41937;3109;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3596836/
3405612;Конструктор LEGO Super Mario Твои уровни! Твои приключения! 71380;6589;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3405612/
2954071;Конструктор LEGO DUPLO Town Большой парк аттракционов (10840);8269;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/2954071/
3142206;Конструктор LEGO Movie Шкатулка королевы Многолики Собери что хочешь 70825;3589;Saint Petersburg;2869;https://www.detmir.ru/product/index/id/3142206/
3405619;Конструктор LEGO Ninjago Электрический робот Джея 71740;2029;Saint Petersburg;1699;https://www.detmir.ru/product/index/id/3405619/
3498476;Конструктор LEGO Vidiyo Битбокс Пирата Панка 43103;1789;Saint Petersburg;889;https://www.detmir.ru/product/index/id/3498476/
3405613;Конструктор LEGO Super Mario дополнительный набор Кусалкин на цепи-встреча в джунглях 71381;2629;Saint Petersburg;1753;https://www.detmir.ru/product/index/id/3405613/
3405552;Конструктор LEGO Friends Пекарня Хартлейк-Сити 41440;1909;Saint Petersburg;1699;https://www.detmir.ru/product/index/id/3405552/
3334780;Конструктор LEGO Disney Princess Лесной домик Спящей красавицы 43188;4309;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3334780/
3142024;Конструктор LEGO DUPLO Town Пожарное депо 10903;5389;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3142024/
3596776;Конструктор LEGO Friends Футбольный кьюб Мии 41669;889;Saint Petersburg;619;https://www.detmir.ru/product/index/id/3596776/
3405547;Конструктор LEGO Friends Электромобиль Оливии 41443;1549;Saint Petersburg;1389;https://www.detmir.ru/product/index/id/3405547/
3596818;Конструктор LEGO Dots Большой набор тайлов 41935;2149;Saint Petersburg;1499;https://www.detmir.ru/product/index/id/3596818/
3244551;Конструктор LEGO Super Heroes Геликарриер 76153;13789;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3244551/
3596747;Конструктор LEGO DUPLO Town Мусоровоз и контейнеры для раздельного сбора мусора 10945;1789;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3596747/
3405617;Конструктор LEGO Super Mario набор усилений Марио Тануки 71385;1069;Saint Petersburg;709;https://www.detmir.ru/product/index/id/3405617/
3244584;Конструктор LEGO Ninjago Бой на штормовом истребителе 71703;3109;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3244584/
3244578;Конструктор LEGO Super Mario Погоня за сокровищами Тоада 71368;7789;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3244578/
3599723;Конструктор LEGO VIDIYO K-Pawp Concert (Концерт в стиле К-поп) 43113;5389;Saint Petersburg;2689;https://www.detmir.ru/product/index/id/3599723/
3156351;Конструктор LEGO 4+ Парк аттракционов Базза и Вуди 10770;4789;Saint Petersburg;3879;https://www.detmir.ru/product/index/id/3156351/
